Year,UserID,ISBN,Title,Publisher,Quantity,OrderedID,ShippmentDate,State,ShipmentTo,Zipcod
2025,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",2,2025-01-2934,"01-07-2025 0.00",Rajasthan,Sikar,332001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-2936,"01-07-2025 0.00",Sikkim,"North Sikkim",737116
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",1,2025-01-2955,"01-07-2025 0.00","Tamil Nadu",Perambalur,621101
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-2973,"01-07-2025 0.00","Tamil Nadu",Sivakasi,626128
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",2,2025-01-2991,"01-07-2025 0.00","Tamil Nadu",Kilakarai,623518
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2998,"01-07-2025 0.00","Tamil Nadu",Salem,403507
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-3000,"01-07-2025 0.00","Tamil Nadu",Chennai,600004
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-3002,"01-08-2025 0.00","Andhra Pradesh",Warangal,506002
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-3003,"01-08-2025 0.00","Andhra Pradesh",Mahabubnagar,509001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-3021,"01-08-2025 0.00","Andhra Pradesh",Tirupati,517501
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-3024,"01-08-2025 0.00","Andhra Pradesh",Hyderabad,500005
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",1,2025-01-3071,"01-08-2025 0.00",Bihar,Patna,756020
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",2,2025-01-3088,"01-08-2025 0.00",Bihar,Patna,756020
2025,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",1,2025-01-3105,"01-08-2025 0.00",Bihar,Mailam,847235
2025,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",1,2025-01-3132,"01-08-2025 0.00",DELHI,"Supreme Court",110001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-3154,"01-08-2025 0.00",DELHI,"North West delhi",110012
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",2,2025-01-3167,"01-08-2025 0.00",Delhi,"New Delhi",110001
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",2,2025-01-3181,"01-08-2025 0.00",Gujarat,Surat,395005
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-3183,"01-08-2025 0.00",Haryana,Panipat,132105
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",1,2025-01-3194,"01-08-2025 0.00",Karnataka,Belgaum,590001
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",1,2025-01-3195,"01-08-2025 0.00",Karnataka,Belgaum,590006
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-3212,"01-08-2025 0.00",Assam,Sonitpur,784001
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-3239,"01-08-2025 0.00",Punjab,Amritsar,143009
2025,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",1,2025-01-3258,"01-08-2025 0.00",Orissa,Mayurbhanj,757001
2025,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",1,2025-01-3275,"01-08-2025 0.00",Orissa,jagdalpur,768036
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-3306,"01-08-2025 0.00",Punjab,Patiala,147004
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-3324,"01-08-2025 0.00",Rajasthan,Tonk,304001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-3349,"01-08-2025 0.00",Rajasthan,Tonk,304001
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",2,2025-01-3358,"01-08-2025 0.00","Tamil Nadu",Madurai,625001
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-3360,"01-08-2025 0.00","West Bengal",Kolkata,700012
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-3371,"01-08-2025 0.00","West Bengal",Kolkata,700022
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-3376,"01-09-2025 0.00","Andhra Pradesh",Adilabad,504001
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-3392,"01-09-2025 0.00","Andhra Pradesh",Chirala,182203
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-3393,"01-09-2025 0.00","Andhra Pradesh",Hyderabad,500008
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2025-01-3410,"01-09-2025 0.00","Andhra Pradesh",Visakhapatnam,530003
2025,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",1,2025-01-3416,"01-09-2025 0.00",Assam,Shillong,793001
2025,59,9.781E+12,"Applied Anatomy & Physiology for Manual Therapists","Books Of Discovery",1,2025-01-3419,"01-09-2025 0.00",Bihar,Patna,756021
2025,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",2,2025-01-3442,"01-09-2025 0.00",Gujarat,Raipur,380008
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-3456,"01-09-2025 0.00",Gujarat,Surat,395010
